id,longitude,latitude
779,-73.12641755,7.1447723
780,-73.130724,7.1128892
781,-73.125215537,7.146063299
782,-73.1219843,7.1335669
783,-73.1092075,7.1098033
784,-73.1136248,7.1191085
785,-73.111263082,7.09474979
786,-73.11081885,7.102219412
787,-73.1117628,7.1248477
788,-73.1254442,7.1337366
789,-73.1318075,7.0975735
790,-73.1370666,7.1229338
791,-73.1135441,7.0825219
792,-73.1202985,7.106792
793,-73.136078378,7.118318367
794,-73.129467702,7.084308456
795,-73.1251963,7.1276799
796,-73.12956425,7.121540416
797,-73.1324196,7.1252571
798,-73.133531424,7.081154155
799,-73.122506737,7.087739676
800,-73.122570149,7.136645744
801,-73.1322933,7.1399623
802,-73.1238957,7.0893211
803,-73.1056304,7.1314046
804,-73.1188388,7.106743
805,-73.099120953,7.130613957
806,-73.1179475,7.1299558
807,-73.10946025,7.09115615
808,-73.1300285,7.1257356
809,-73.1147668,7.07992255
810,-73.1161187,7.1176209
811,-73.1275589,7.1307161
812,-73.1218302,7.1230205
813,-73.13415255,7.1139479
814,-73.1152294,7.1331385
815,-73.1329048,7.1317433
816,-73.1088855,7.1239005
817,-73.105189986,7.133771699
818,-73.1248552,7.0969986
819,-73.125556,7.0980727
820,-73.12156,7.11765605
821,-73.1260173,7.0962877
822,-73.1135406,7.0859279
823,-73.1223886,7.08658065
824,-73.1309812,7.1304917
825,-73.1127608,7.10269595
826,-73.11071,7.0921427
827,-73.1223774,7.109626
828,-73.12460482,7.15003447
829,-73.132894015,7.093192541
830,-73.1062746,7.1085981
831,-73.1281158,7.1381534
832,-73.117281,7.1148665
833,-73.1328779,7.1243081
834,-73.1141036,7.1141737
835,-73.1319382,7.1311392
836,-73.1273948,7.1254754
837,-73.1268548,7.1317307
838,-73.1006133,7.1049912
839,-73.1396415,7.0942024
840,-73.1286967,7.1322585
841,-73.1217838,7.1327236
842,-73.1257336,7.1394864
843,-73.1242879,7.0759544
844,-73.109753806,7.101038158
845,-73.1102289,7.1213567
846,-73.1308389,7.1224357
847,-73.13324295,7.120647039
848,-73.1191795,7.1414731
849,-73.12974505,7.13763945
850,-73.1257627,7.1449168
851,-73.12702497,7.132557473
852,-73.123650595,7.133261154
853,-73.1331944,7.1333275
854,-73.1118457,7.0947292
855,-73.1229744,7.1307134
856,-73.1174368,7.1210479
857,-73.133314596,7.139568823
858,-73.1207867,7.1276499
859,-73.11481915,7.11942415
860,-73.1295798,7.1043313
861,-73.117941484,7.134767044
862,-73.1276107,7.1399875
863,-73.137753971,7.160481022
864,-73.114267,7.1218685
865,-73.1219185,7.0789661
866,-73.1198906,7.12016465
867,-73.1148857,7.0820377
868,-73.1159692,7.1147379
869,-73.1065833,7.1156459
870,-73.1097288,7.1222623
871,-73.109715645,7.128634108
872,-73.1214849,7.1269159
873,-73.1142444,7.1236211
874,-73.1341621,7.1234746
875,-73.125347,7.1285162
876,-73.10864385,7.10986355
877,-73.1118392,7.0892082
878,-73.13337305,7.13829615
879,-73.1196367,7.11577
880,-73.1126805,7.1216672
881,-73.1342388,7.1298456
882,-73.1343446,7.0919637
883,-73.1272079,7.1289993
884,-73.1278663,7.1324231
885,-73.1106443,7.1072677
